,province,city,total,today
75,上海,境外输入,"{'showRate': False, 'confirm': 4831, 'wzz': 0, 'continueDayZeroLocalConfirmAdd': 0, 'adcode': '', 'nowConfirm': 83, 'dead': 0, 'showHeal': True, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirm': 0, 'heal': 4748, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'mtime': '2022-07-18 08:04:02'}","{'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '', 'local_confirm_add': 3, 'confirm': 3}"
76,上海,青浦,"{'grade': '点击查看详情', 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'nowConfirm': 72, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'adcode': '310118', 'mtime': '2022-07-18 07:58:18', 'confirm': 1325, 'dead': 0, 'showRate': False, 'heal': 1253, 'showHeal': True, 'wzz': 0, 'continueDayZeroLocalConfirm': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '1', 'local_confirm_add': 0}"
77,上海,金山,"{'highRiskAreaNum': 0, 'mediumRiskAreaNum': 0, 'showRate': False, 'showHeal': True, 'grade': '点击查看详情', 'wzz': 0, 'provinceLocalConfirm': 0, 'adcode': '310116', 'confirm': 339, 'dead': 0, 'heal': 328, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:32:08', 'nowConfirm': 11, 'continueDayZeroLocalConfirm': 0}","{'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0'}"
78,上海,外地来沪,"{'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'continueDayZeroLocalConfirm': 16, 'mtime': '2022-07-17 11:31:44', 'showRate': False, 'grade': '全部低风险', 'provinceLocalConfirm': 0, 'highRiskAreaNum': 0, 'nowConfirm': 0, 'confirm': 113, 'dead': 1, 'heal': 112, 'showHeal': True, 'wzz': 0, 'adcode': ''}","{'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0}"
79,上海,境外来沪,"{'dead': 0, 'continueDayZeroLocalConfirmAdd': 16, 'adcode': '', 'nowConfirm': -1, 'showHeal': True, 'provinceLocalConfirm': 0, 'highRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 0, 'wzz': 0, 'mediumRiskAreaNum': 0, 'mtime': '2022-07-17 11:32:58', 'confirm': 1, 'showRate': False, 'heal': 2}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 0}"
80,上海,地区待确认,"{'adcode': '', 'wzz': 0, 'provinceLocalConfirm': 0, 'mediumRiskAreaNum': 0, 'highRiskAreaNum': 0, 'mtime': '2022-07-18 07:58:17', 'confirm': 12, 'showRate': False, 'heal': 9450, 'showHeal': True, 'continueDayZeroLocalConfirmAdd': 1, 'continueDayZeroLocalConfirm': 0, 'nowConfirm': -10026, 'dead': 588}","{'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': ''}"
81,安徽,宿州,"{'nowConfirm': 96, 'showHeal': True, 'wzz': 0, 'adcode': '341300', 'showRate': False, 'mediumRiskAreaNum': 15, 'highRiskAreaNum': 0, 'mtime': '2022-07-18 08:23:31', 'dead': 0, 'heal': 325, 'grade': '点击查看详情', 'confirm': 421, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 5, 'continueDayZeroLocalConfirm': 0}","{'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '0'}"
82,安徽,蚌埠,"{'mediumRiskAreaNum': 13, 'mtime': '2022-07-18 08:14:54', 'adcode': '340300', 'nowConfirm': 24, 'confirm': 184, 'dead': 5, 'showHeal': True, 'provinceLocalConfirm': 0, 'wzz': 0, 'highRiskAreaNum': 24, 'continueDayZeroLocalConfirmAdd': 0, 'heal': 155, 'continueDayZeroLocalConfirm': 0, 'showRate': False}","{'local_confirm_add': 3, 'confirm': 3, 'confirmCuts': 0, 'isUpdated': True, 'wzz_add': '52'}"
83,安徽,境外输入,"{'continueDayZeroLocalConfirmAdd': 0, 'showRate': False, 'wzz': 0, 'provinceLocalConfirm': 0, 'adcode': '', 'dead': 0, 'heal': 15, 'highRiskAreaNum': 0, 'confirm': 17, 'mediumRiskAreaNum': 0, 'mtime': '2022-07-17 11:33:20', 'nowConfirm': 2, 'showHeal': True, 'continueDayZeroLocalConfirm': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '', 'local_confirm_add': 0}"
84,安徽,淮北,"{'showHeal': True, 'wzz': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'showRate': False, 'dead': 0, 'heal': 28, 'adcode': '340600', 'nowConfirm': 0, 'highRiskAreaNum': 0, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirm': 16, 'mtime': '2022-07-17 11:32:34', 'confirm': 28}","{'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0}"
85,安徽,黄山,"{'heal': 9, 'continueDayZeroLocalConfirm': 16, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:34:37', 'adcode': '341000', 'showRate': False, 'provinceLocalConfirm': 0, 'dead': 0, 'wzz': 0, 'showHeal': True, 'highRiskAreaNum': 0, 'nowConfirm': 0, 'confirm': 9}","{'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0}"
86,安徽,宣城,"{'nowConfirm': 0, 'dead': 0, 'heal': 9, 'highRiskAreaNum': 0, 'mtime': '2022-07-17 11:34:37', 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 16, 'confirm': 9, 'showRate': False, 'grade': '点击查看详情', 'wzz': 0, 'provinceLocalConfirm': 0, 'showHeal': True, 'continueDayZeroLocalConfirmAdd': 16, 'adcode': '341800'}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
87,安徽,滁州,"{'nowConfirm': 0, 'showHeal': True, 'adcode': '341100', 'confirm': 15, 'showRate': False, 'wzz': 0, 'highRiskAreaNum': 0, 'dead': 0, 'heal': 15, 'grade': '点击查看详情', 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 16, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:34:36'}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
88,安徽,安庆,"{'nowConfirm': 0, 'confirm': 83, 'heal': 83, 'mtime': '2022-07-17 11:32:36', 'wzz': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirmAdd': 16, 'adcode': '340800', 'dead': 0, 'continueDayZeroLocalConfirm': 16, 'showRate': False, 'showHeal': True, 'provinceLocalConfirm': 0, 'highRiskAreaNum': 0}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
89,安徽,亳州,"{'confirm': 108, 'dead': 0, 'heal': 108, 'provinceLocalConfirm': 0, 'showHeal': True, 'highRiskAreaNum': 0, 'nowConfirm': 0, 'wzz': 0, 'mediumRiskAreaNum': 0, 'continueDayZeroLocalConfirm': 16, 'showRate': False, 'continueDayZeroLocalConfirmAdd': 16, 'mtime': '2022-07-17 11:34:37', 'adcode': '341600'}","{'confirm': 0, 'confirmCuts': 0, 'isUpdated': False, 'wzz_add': '0', 'local_confirm_add': 0}"
90,安徽,六安,"{'confirm': 84, 'dead': 0, 'heal': 84, 'mtime': '2022-07-17 11:32:34', 'adcode': '341500', 'showRate': False, 'mediumRiskAreaNum': 0, 'showHeal': True, 'provinceLocalConfirm': 0, 'continueDayZeroLocalConfirmAdd': 16, 'continueDayZeroLocalConfirm': 16, 'nowConfirm': 0, 'grade': '点击查看详情', 'wzz': 0, 'highRiskAreaNum': 0}","{'wzz_add': '0', 'local_confirm_add': 0, 'confirm': 0, 'confirmCuts': 0, 'isUpdated': False}"
